state1,state2,interval,type,drainage1,disturbance1,cover_type1,soil1,age1,drainage2,disturbance2,cover_type2,soil2,age2,precip,mean_temp,max_temp,min_temp,id,longitude,latitude
1,1,9,Present,20,NA,M,2BE,50,20,NA,M,2A,JIN,982.0,4.35,10.05,-1.355,9402300601,-76.299716,45.666638
1,1,9,Present,20,NA,M,2BE,30,20,NA,M,1AY,50,982.5,4.35,10.05,-1.35,9402300602,-76.294395,45.665369
1,1,9,Present,20,CP,F,1A,50,20,CP,M,1A,50,1026.5,3.825,9.705,-2.06,9401202901,-76.03274,46.166783
1,1,9,Present,30,CP,F,1AY,50,30,CP,F,1AY,JIN,1026.5,3.825,9.705,-2.055,9401202902,-76.033018,46.162942
0,0,6,Absent,NA,NA,M,NA,30,20,CP,M,2BE,50,873.0,4.635,10.489999999999998,-1.2149999999999999,8809400402,-76.635666,45.851665
0,0,9,Absent,20,CP,M,2BE,50,20,NA,R,5S,50,938.0,4.43,10.245,-1.375,8809400402,-76.635666,45.851665
0,1,8,Colonization,NA,EL,M,NA,NA,NA,EL,M,NA,70,967.5,0.685,6.645,-5.279999999999999,7209606101,-77.415292,47.283367
1,1,13,Present,NA,EL,M,NA,70,20,NA,M,1AM,70,979.0,1.225,7.08,-4.635,7209606101,-77.415292,47.283367
1,0,10,Extinction,20,NA,M,1AM,70,NA,NA,NA,NA,NA,992.0,1.84,7.6899999999999995,-4.01,7209606101,-77.415292,47.283367
0,0,6,Absent,NA,NA,R,NA,50,NA,NA,R,NA,70,1090.5,-0.555,5.05,-6.154999999999999,7409701801,-73.614167,48.11457
0,0,18,Absent,NA,NA,R,NA,70,60,NA,R,7T,90,1004.0,0.945,6.575,-4.68,7409701801,-73.614167,48.11457
0,0,9,Absent,60,NA,R,7T,90,50,NA,R,7E,VIR,1002.5,1.6949999999999998,7.37,-3.9800000000000004,7409701801,-73.614167,48.11457
0,0,6,Absent,NA,NA,R,NA,NA,NA,NA,R,NA,120,966.0,-2.895,2.215,-8.015,7401601702,-68.819122,51.553068
0,0,11,Absent,NA,NA,R,NA,120,NA,NA,R,NA,120,900.0,-2.455,2.99,-7.8999999999999995,7401601702,-68.819122,51.553068
0,0,10,Absent,NA,NA,R,NA,120,30,NA,R,1A,120,845.0,-1.395,4.085,-6.875,7401601702,-68.819122,51.553068
0,0,8,Absent,NA,NA,R,NA,50,30,NA,R,8A,50,1109.5,1.09,5.7,-3.5250000000000004,8909205902,-64.931272,48.53569
0,0,8,Absent,30,NA,R,8A,50,30,CP,R,8A,50,1112.0,1.7149999999999999,6.0,-2.5700000000000003,8909205902,-64.931272,48.53569
0,0,6,Absent,NA,NA,M,NA,NA,NA,CP,M,NA,7030,791.0,2.7350000000000003,8.675,-3.21,7501702401,-79.133346,47.732688
0,0,15,Absent,NA,CP,M,NA,7030,30,NA,NA,1A,NA,856.0,2.17,8.13,-3.795,7501702401,-79.133346,47.732688
0,0,9,Absent,30,NA,NA,1A,NA,30,CP,M,1A,JIN,779.5,2.495,8.535,-3.5500000000000003,7501702401,-79.133346,47.732688
0,0,6,Absent,NA,NA,R,NA,50,NA,NA,NA,NA,10,791.0,2.74,8.68,-3.2,7501702402,-79.12792,47.73166
0,0,15,Absent,NA,NA,NA,NA,10,40,NA,F,4GA,30,856.0,2.175,8.135,-3.785,7501702402,-79.12792,47.73166
0,0,9,Absent,40,NA,F,4GA,30,30,NA,F,4GA,30,779.5,2.5,8.545,-3.54,7501702402,-79.12792,47.73166
0,0,8,Absent,NA,NA,R,NA,70,30,NA,M,8A,10,1104.0,1.145,5.77,-3.4749999999999996,8909205901,-64.936751,48.534541
0,0,8,Absent,30,NA,M,8A,10,30,NA,M,8A,10,1108.0,1.775,6.0649999999999995,-2.52,8909205901,-64.936751,48.534541
0,0,12,Absent,20,NA,F,2BD,10,30,NA,F,3AN,10,959.0,2.1550000000000002,7.779999999999999,-3.475,9500803702,-71.260154,48.634403
0,0,10,Absent,40,NA,R,7T,VIN,50,NA,R,7T,VIN,1150.5,1.645,6.975,-3.6799999999999997,9303704401,-69.282344,47.450486
0,0,10,Absent,30,CB,R,1A,JIN,43,NA,F,1A,10,1150.5,1.645,6.98,-3.685,9303704402,-69.277249,47.450899
0,0,11,Absent,NA,NA,M,NA,90,NA,CHP,M,NA,120,1126.5,-0.30500000000000005,5.065,-5.68,7608200601,-70.416377,49.083678
0,0,11,Absent,NA,CHP,M,NA,120,30,NA,R,1AY,10,1078.0,0.985,6.125,-4.154999999999999,7608200601,-70.416377,49.083678
0,0,9,Absent,30,NA,R,1AY,10,30,EPC,R,1AY,10,1146.5,0.755,5.824999999999999,-4.3100000000000005,7608200601,-70.416377,49.083678
0,0,11,Absent,NA,NA,R,NA,90,NA,NA,R,NA,120,1127.0,-0.31500000000000006,5.055,-5.6899999999999995,7608200602,-70.420468,49.086914
0,0,11,Absent,NA,NA,R,NA,120,30,NA,R,1A,10,1078.5,0.975,6.115,-4.165,7608200602,-70.420468,49.086914
0,0,9,Absent,30,NA,R,1A,10,30,EPC,R,1AY,10,1146.5,0.745,5.8149999999999995,-4.32,7608200602,-70.420468,49.086914
0,0,12,Absent,NA,NA,M,NA,50,30,EPC,R,1A,10,1084.5,2.75,7.6899999999999995,-2.1950000000000003,9109610201,-69.110195,48.003681
0,0,12,Absent,NA,NA,F,NA,50,30,NA,F,1AM,50,1079.5,2.83,7.785,-2.12,9109610202,-69.10673,48.000626
0,0,9,Absent,20,NA,M,2BE,30,20,NA,R,2BE,30,1001.5,3.9800000000000004,9.75,-1.785,9402302502,-76.305242,45.882483
1,1,7,Present,NA,NA,F,NA,70,NA,NA,F,NA,70120,863.5,2.83,8.885,-3.23,7109801302,-76.537939,46.217802
1,1,11,Present,NA,NA,F,NA,70120,NA,NA,F,NA,70120,903.0,2.2800000000000002,8.59,-4.035,7109801302,-76.537939,46.217802
1,1,5,Present,NA,NA,F,NA,70120,20,NA,F,1AM,VIN,972.5,2.625,8.774999999999999,-3.5250000000000004,7109801302,-76.537939,46.217802
1,1,9,Present,20,NA,F,1AM,VIN,30,CP,F,1AY,VIN,1022.5,3.21,9.015,-2.59,7109801302,-76.537939,46.217802
0,0,10,Absent,NA,NA,F,NA,30,30,NA,F,1AM,50,977.5,1.72,6.88,-3.44,8909206901,-69.354877,48.989581
0,0,5,Absent,NA,NA,R,NA,70120,NA,NA,R,NA,120,944.0,-0.24500000000000002,5.5649999999999995,-6.05,7509600801,-75.121059,49.093071
0,0,12,Absent,NA,NA,R,NA,120,50,NA,R,1A,120,963.5,-0.845,4.99,-6.6850000000000005,7509600801,-75.121059,49.093071
0,0,5,Absent,NA,NA,R,NA,12070,NA,NA,R,NA,120,944.0,-0.24500000000000002,5.5600000000000005,-6.05,7509600802,-75.120566,49.097031
0,0,12,Absent,NA,NA,R,NA,120,40,NA,R,1AD,120,963.5,-0.845,4.99,-6.6850000000000005,7509600802,-75.120566,49.097031
1,1,10,Present,30,NA,F,1AY,JIN,30,NA,F,1AY,JIN,1006.5,1.33,7.305,-4.65,9305001101,-76.649777,47.633385
0,0,10,Absent,20,EL,M,1AY,90,20,NA,M,1AY,JIN,1007.0,1.33,7.305,-4.65,9305001102,-76.644377,47.634499
0,0,8,Absent,NA,NA,F,NA,NA,NA,NA,F,NA,50,1049.0,2.55,7.995,-2.8899999999999997,7000404201,-70.765535,45.550706
0,0,7,Absent,NA,NA,F,NA,50,NA,NA,F,NA,50,1103.5,2.445,7.965,-3.065,7000404201,-70.765535,45.550706
0,0,12,Absent,NA,NA,F,NA,50,30,NA,M,1AY,50,1130.5,2.52,8.015,-2.9749999999999996,7000404201,-70.765535,45.550706
0,1,11,Colonization,30,NA,M,1AY,50,30,NA,M,1AY,JIN,1304.5,3.225,8.59,-2.15,7000404201,-70.765535,45.550706
0,0,10,Absent,NA,NA,R,NA,90,NA,NA,R,NA,90,1373.0,-1.24,3.61,-6.08,7601202602,-66.577328,48.917611
0,0,10,Absent,NA,NA,R,NA,90,30,NA,R,8AM,120,1379.0,-0.935,3.645,-5.505000000000001,7601202602,-66.577328,48.917611
0,0,7,Absent,30,NA,R,8AM,120,30,NA,R,8AM,120,1297.0,-0.535,3.9050000000000002,-4.965,7601202602,-66.577328,48.917611
0,0,8,Absent,NA,NA,M,NA,50,NA,NA,F,NA,10,1078.0,2.34,7.705,-3.025,7000404202,-70.770959,45.549416
0,0,7,Absent,NA,NA,F,NA,10,NA,NA,F,NA,10,1130.5,2.2199999999999998,7.66,-3.215,7000404202,-70.770959,45.549416
0,0,12,Absent,NA,NA,F,NA,10,30,NA,M,1A,10,1159.5,2.285,7.725,-3.15,7000404202,-70.770959,45.549416
0,0,11,Absent,30,NA,M,1A,10,30,NA,M,1A,30,1330.0,2.995,8.325,-2.335,7000404202,-70.770959,45.549416
0,0,9,Absent,NA,NA,R,NA,70,NA,NA,NA,NA,NA,714.5,-2.45,3.045,-7.9399999999999995,7002500902,-77.166055,52.394259
0,0,11,Absent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,826.5,-2.27,3.385,-7.915,7002500902,-77.166055,52.394259
