"id_plot","yr_measured","lat","lon","ers","drainage","disturbance","cover_type","soil","age_stand","annual_pp","annual_mean_temp","annual_min_temp","annual_max_temp"
7109802401,1994,-76.700044,46.34892,NA,40,NA,"F","1AY","50",944,3.02,-2.86,8.9
7201000802,2010,0,0,NA,40,NA,"R","4GA","120",770,2.21,-2.77,7.18
7209400601,2003,-76.196034,46.849457,0.645789712862735,30,NA,"F","1AY","70",1068,2.89,-3.08,8.86
7209600501,2003,-77.398663,46.400005,NA,30,NA,"F","1A","10",1004,3.5,-2.12,9.13
7301102501,2003,-59.16656,51.883401,NA,30,NA,"R","1A","50",1050,1.01,-3.3,5.31
7309801402,2006,-74.812471,47.169285,NA,30,NA,"R","2BE","JIN",1260,4.32,-1.04,9.69
7400701002,2007,-72.455186,48.399186,NA,20,NA,"R","2BE","30",920,1.49,-4.12,7.11
7409800101,2007,-71.650125,47.550016,NA,30,NA,"R","1A","30",1311,0.44,-4.88,5.76
7501002501,2007,-76.532796,48.466568,NA,30,NA,"R","1A","10",900,1.46,-4.22,7.15
7501003502,1996,-77.097135,48.919841,NA,40,NA,"R","4GA","30",916,0.88,-4.92,6.67
7501105501,2003,-67.750719,48.000376,NA,30,NA,"R","1A","10",1164,1.87,-3.48,7.21
7501300301,1999,-63.165927,49.283647,NA,30,NA,"R","8AY","30",1308,4.52,0.31,8.72
7501403102,1996,-78.000866,48.413471,NA,30,NA,"M","2A","JIN",881,0.8,-5.35,6.95
7501404302,2005,-79.003882,48.54731,NA,30,NA,"R","1A","50",774,2.13,-4.13,8.38
7501702201,2005,-78.45073,47.73277,NA,20,NA,"R","R1A","30",738,3.18,-2.88,9.23
7601200902,2005,-64.363406,48.718806,NA,30,NA,"R","1AY","30",1158,3.63,-0.93,8.19
7601601601,2003,-75.76567,45.716211,0.735510457456606,30,NA,"F","1AY","10",1148,3.82,-1.71,9.36
7601703202,1997,-72.748986,46.864085,0.0441150294398713,30,NA,"M","1AY","JIN",948,2.73,-3.15,8.6
7601804301,2008,-74.116777,46.033379,NA,30,NA,"R","1AY","70",1393,3.73,-1.82,9.28
7601805602,2008,-74.35375,46.119571,0.0134782178820636,20,NA,"M","1AY","10",1398,3.37,-2.37,9.1
7607903201,2010,0,0,NA,30,NA,"R","1AY","30",1100,3.96,-1.39,9.31
7607903801,2003,-71.532533,47.150794,NA,30,NA,"F","1AY","30",1418,1.13,-3.87,6.13
7607904201,2010,-72.332856,47.200139,NA,20,NA,"R","R1A","50",1096,4.87,-0.45,10.19
7608606901,1997,-73.582787,46.866757,NA,30,NA,"F","1AY","10",955,1.68,-4.57,7.92
7609500202,1997,-72.67386,46.950048,NA,20,NA,"F","1AM","30",949,2.81,-3.08,8.7
7609506002,1998,-72.901665,47.365652,NA,30,NA,"F","1AY","VIN",1022,4.05,-1.63,9.73
7609512302,1998,-73.956492,47.703699,NA,30,NA,"M","1A","30",946,3.56,-2.29,9.4
7609607702,2010,0,0,NA,30,NA,"M","1A","70",1063,4.35,-1.12,9.82
7609610601,1998,-73.016601,47.833591,NA,20,NA,"M","2BE","70",944,3.92,-1.72,9.55
7701201102,2001,-66.027863,51.530743,NA,20,NA,"R","R1A","120",1028,-1.46,-6.17,3.25
7701203301,2001,-67.933968,51.933215,NA,30,NA,"R","1A","120",920,-1.11,-6.14,3.92
8709603501,2010,-78.333218,48.683381,NA,20,NA,"R","2A","10",814,3.38,-1.89,8.65
8901806202,2001,-67.861245,50.163816,NA,31,NA,"R","1AY","120",971,1.02,-3.74,5.78
8901901302,2001,-67.152872,51.153603,NA,30,NA,"R","1AY","120",990,-0.58,-5.39,4.23
8902200201,2002,-61.80242,50.716527,NA,30,NA,"R","1A","VIN",1101,-0.2,-4.51,4.11
9003401001,1999,-74.273314,50.959777,NA,20,NA,"R","1BP","10",991,0.54,-4.96,6.04
9109614201,1997,-66.988574,48.969838,1.0495299219425,20,NA,"F","8A","VIN",878,1.59,-2.89,6.08
9203201402,1992,-70.166025,48.487133,NA,20,NA,"R","1AY","50",1272,-0.64,-5.67,4.4
9203508002,1992,-70.311005,47.614905,NA,30,NA,"M","2BE","50",1047,1.68,-3.29,6.66
9203709702,2003,-69.881977,48.137295,NA,20,NA,"R","1AM","70",1082,2.3,-2.57,7.16
9203804001,1992,-71.415966,47.683492,NA,40,NA,"R","1A","30",1393,-1.66,-6.87,3.55
9204601002,2007,-76.1754,49.331826,NA,20,NA,"R","1BG","10",902,0.97,-4.77,6.7
9209605301,1992,-74.231695,50.02661,NA,23,NA,"R","1A","10",1000,-1.87,-7.66,3.92
9303701901,1993,-69.919405,46.897049,NA,30,NA,"F","1AY","30",1167,2.43,-2.88,7.74
9303705302,2003,-68.548889,47.587067,0.0248845554090848,30,NA,"F","8AY","VIN",1195,1.97,-3.47,7.41
9303800602,2003,-70.232892,46.554215,NA,40,NA,"R","1A","30",1199,2.42,-3.11,7.95
9509801901,1995,-64.329936,48.920404,NA,40,NA,"F","3AN","50",1146,3.09,-1.42,7.61
9909902002,2009,-71.129306,47.305648,NA,30,NA,"R","1AY","10",1206,1.15,-3.74,6.03
7000410402,1997,-70.470454,46.115608,NA,40,NA,"M","1A","10",1074,2.59,-2.9,8.07
7009500801,2003,-70.548882,47.898978,NA,30,NA,"M","1AY","10",1180,0.85,-4.13,5.84
